x,y,gene,cell
15.65394323814403,10.886070824582164,Gene 8,0
12.102485961623282,10.066595400895316,Gene 15,0
10.689839844636555,7.945814161518148,Gene 24,0
17.53676189255004,3.5084717840240067,Gene 24,0
17.607483660012868,2.243071785979289,Gene 24,0
12.85522923939393,9.734161278925045,Gene 40,0
12.809523651493722,7.865405812137331,Gene 44,0
12.364399466557664,11.319366979050791,Gene 44,0
12.899519045943427,0.5059921515576242,Gene 44,0
14.081007395186372,3.2391809332194614,Gene 44,0
11.602591550257667,1.523814909082053,Gene 44,0
12.056139303872424,10.915670722371473,Gene 44,0
17.344769906159108,8.991280979275384,Gene 44,0
12.625230189460389,10.638170927071894,Gene 44,0
13.683827845824387,0.39349278463232196,Gene 45,0
13.764318188470462,10.592109044982307,Gene 45,0
11.672267354417977,10.72688760027615,Gene 45,0
10.670404741182788,6.86793492572852,Gene 45,0
10.343747501786943,9.395270730985725,Gene 45,0
14.991926147060758,4.2174607256791,Gene 45,0
10.790975024950225,8.788192341902782,Gene 45,0
17.139151152094694,6.210982391040129,Gene 46,0
11.931785272689265,1.575532849067132,Gene 46,0
12.772843752369267,2.8766542889976483,Gene 46,0
15.328414113423367,2.4146870528356037,Gene 46,0
10.882324822374095,2.9171075861834064,Gene 46,0
14.588675303118217,4.2719462140490325,Gene 46,0
16.860149367140284,6.908251517088042,Gene 46,0
13.942887637349884,9.096480217041949,Gene 47,0
13.970807524956665,9.639452147643597,Gene 47,0
10.773565459929923,11.33635250247959,Gene 47,0
16.830998955850166,8.859566194829396,Gene 47,0
17.670536125424462,10.441142427946954,Gene 47,0
14.450878880042422,1.2473068063343389,Gene 47,0
13.565035815400178,1.1108163435991916,Gene 47,0
16.319620920515465,11.553347827343474,Gene 47,0
14.447304173336496,10.077922751376756,Gene 48,0
18.712505908763518,4.65563473832217,Gene 48,0
17.78698136045962,9.680805013713936,Gene 48,0
15.714421213900735,0.04190813034264185,Gene 48,0
10.676311744745556,2.181719312959373,Gene 48,0
17.23116105005174,2.7670780260945125,Gene 48,0
13.737714649091556,2.5139931087256486,Gene 48,0
16.134036600599373,8.494771919320137,Gene 48,0
16.133350847379802,7.456597682299891,Gene 48,0
14.643929400918253,0.43431274012355914,Gene 49,0
16.445718131753097,10.861933294554161,Gene 49,0
17.484372794228147,7.509108374488049,Gene 49,0
13.961857408979046,10.1705430764112,Gene 49,0
9.586283411974112,8.964775531192931,Gene 49,0
11.997942054682198,5.330100583087447,Gene 49,0
14.479086215319901,0.3575283055993568,Gene 49,0
17.73849429223378,8.78446712196962,Gene 49,0
18.745244011039976,4.514472524022642,Gene 49,0
10.69907361186252,8.433164473901078,Gene 49,0
13.28707868812324,-0.8373873284975746,Gene 49,0
18.393992246592855,5.145491523499109,Gene 49,0
11.274023500816686,2.5798972968721956,Gene 49,0
16.54391416303392,9.76239237227318,Gene 49,0
15.344054646918083,10.103461026985803,Gene 49,0
15.397581376116374,12.708313112552602,Gene 8,1
16.03208216003678,17.2063135122422,Gene 8,1
18.051379152097287,6.753339946054157,Gene 9,1
15.20461569267157,12.412481051382994,Gene 17,1
17.871420951060955,16.616399240822755,Gene 24,1
20.438040872978487,11.262386453270757,Gene 24,1
21.10679967077042,12.207450684403117,Gene 24,1
20.093585951225865,19.568338614632825,Gene 44,1
18.304666287647247,7.011136386766578,Gene 44,1
18.80244688927612,8.39609296588747,Gene 44,1
18.502877514478005,6.504751314484496,Gene 44,1
20.86582798303824,10.187443989310491,Gene 45,1
19.22980930705017,6.084384163357733,Gene 45,1
17.854156946996547,20.537435808218387,Gene 45,1
16.269091515827647,15.387044264373433,Gene 46,1
19.22507606390557,19.60091384568762,Gene 46,1
15.394960523863066,13.058374650691594,Gene 46,1
20.82784338510477,9.953168623312816,Gene 46,1
22.049369524008764,14.956413676928209,Gene 46,1
15.831614309851682,12.506769795078048,Gene 46,1
19.328583387193977,19.600899683926286,Gene 46,1
15.29084279760699,13.237079536271088,Gene 46,1
15.2098941062676,12.462353592864417,Gene 46,1
19.684023370076122,8.192319139000514,Gene 46,1
20.023599707725307,20.1077811401885,Gene 47,1
17.22712448580576,20.465078786836173,Gene 47,1
19.022354091361326,15.723028249789303,Gene 47,1
16.9156083845587,13.583104240603813,Gene 47,1
15.289185724768629,15.260569537548774,Gene 47,1
16.676193876333453,11.290072591940763,Gene 47,1
17.186552907490253,8.14651304186577,Gene 47,1
21.716604589104172,17.231478279381797,Gene 48,1
16.62395813956331,18.93607450418169,Gene 48,1
16.130060566788778,18.209273729460925,Gene 48,1
16.682299402854955,11.142739869475383,Gene 48,1
20.720361089015018,13.050033480751576,Gene 48,1
21.195460157440387,17.76047578153979,Gene 49,1
18.368351524720097,19.201901069356374,Gene 49,1
17.065620872806676,10.848612198753639,Gene 49,1
16.53508172711163,13.399239317819882,Gene 49,1
16.92176361430948,10.368863069288066,Gene 49,1
20.791725205295094,19.274718098801255,Gene 49,1
16.930949501945108,14.529672390202169,Gene 49,1
20.335015635785254,7.688003492683759,Gene 49,1
21.972367122537122,14.448120549175112,Gene 49,1
20.817727774206325,18.711671334486926,Gene 49,1
29.610820435448357,7.6208821204107995,Gene 8,2
25.541273318228388,1.1697263915861305,Gene 8,2
23.63680728802005,8.479982277708547,Gene 9,2
29.881788332470006,6.905349329888097,Gene 9,2
22.595442266056423,1.5408498362838934,Gene 16,2
29.556095236535477,1.8402060347561715,Gene 24,2
27.577459812975576,2.297072673707478,Gene 42,2
26.716153365009525,8.243950361712947,Gene 44,2
21.30421225537053,6.871865279662771,Gene 44,2
22.4269972732631,7.859044264628573,Gene 44,2
23.269932400712673,8.43449109999242,Gene 44,2
23.21797692022233,9.219251959532965,Gene 44,2
28.179589583765406,8.910135965851797,Gene 44,2
30.671957591642993,7.398476661679231,Gene 44,2
22.185706947265846,2.541658945785394,Gene 45,2
31.24264559042947,3.731206880318588,Gene 45,2
23.48320778724942,8.395914849937528,Gene 45,2
30.692400746238086,8.487653355272494,Gene 45,2
23.85828224444796,8.984402130691622,Gene 46,2
19.86725915352484,3.946430662925626,Gene 46,2
24.21528411963577,8.906764989647682,Gene 46,2
24.151398159921094,2.5775904588739618,Gene 46,2
24.054866208946887,3.0691209239739856,Gene 47,2
27.901557596992276,4.807634348695909,Gene 47,2
29.081457915531775,8.01508868223209,Gene 47,2
24.878945051831455,3.280809345973277,Gene 47,2
30.430772111482135,4.311904899791342,Gene 47,2
30.167147311783904,8.323618665341591,Gene 47,2
20.913436447041285,4.517957706417102,Gene 48,2
23.46556872095593,8.446938069902325,Gene 48,2
23.53454145905149,3.1935353077078905,Gene 48,2
28.06083392478731,7.988341050071892,Gene 48,2
24.769947372987676,7.430049801246097,Gene 48,2
25.360902628877223,2.463853218779242,Gene 48,2
28.20144690685306,8.669387077977454,Gene 48,2
26.037184320982412,8.920870775427874,Gene 48,2
23.706997918273018,2.8933527633671274,Gene 49,2
24.606288676561547,9.713824815540754,Gene 49,2
